Name,Price,Image URL,Number of Colors,Product Link,category
PANTALON,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A1339_e1becbd3a5.jpg,3 Couleurs,/fr/produit/4512-pantalon,homme
JEAN STRAIGHT FIT,89.90 TND,https://images.zen.com.tn/uploads/8_U2_A4331_518690e952.JPG,1 Couleurs,/fr/produit/4459-jean-straight-fit,homme
JEAN LOOSE FIT,79.90 TND,https://images.zen.com.tn/uploads/jeans_2_58d7d6d0d4.jpg,1 Couleurs,/fr/produit/4693-jean-loose-fit,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A7898_fa55e57a74.jpg,2 Couleurs,/fr/produit/4668-t-shirt,homme
JEAN,79.90 TND,https://images.zen.com.tn/uploads/8_U2_A8005_6976e7ef87.jpg,1 Couleurs,/fr/produit/4643-jean,homme
VESTE,83.93 TND  119.90 TND,https://images.zen.com.tn/uploads/8_U2_A8541_414d56150d.jpg,1 Couleurs,/fr/produit/4639-veste,homme
T SHIRT,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A8223_da2eabc686.jpg,1 Couleurs,/fr/produit/4466-t-shirt,homme
T SHIRT MANCHES LONGUES,20.93 TND,https://images.zen.com.tn/uploads/8_U2_A0157_260b64d4b4.jpg,3 Couleurs,/fr/produit/4479-t-shirt-manches-longues,homme
T SHIRT,35.90 TND,https://images.zen.com.tn/uploads/8_U2_A8094_07c45ce35f.jpg,6 Couleurs,/fr/produit/4532-t-shirt,homme
JEAN SLIM FIT,89.90 TND,https://images.zen.com.tn/uploads/8_U2_A0107_29e8a60b53.jpg,1 Couleurs,/fr/produit/4593-jean-slim-fit,homme
PANTALON,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A0014_c7c47c5219.jpg,2 Couleurs,/fr/produit/4545-pantalon,homme
CHEMISE,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A8387_3ae77ff170.jpg,3 Couleurs,/fr/produit/4127-chemise,homme
CHEMISE,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A8163_93f927e55d.jpg,5 Couleurs,/fr/produit/4187-chemise,homme
