Name,Price,Image URL,Number of Colors,Product Link,category
POLO,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A5647_fb0654e2e6.JPG,5 Couleurs,/fr/produit/4892-polo,enfant
BASKET,119.90 TND,https://images.zen.com.tn/uploads/8_U2_A4737_2120480dab.JPG,2 Couleurs,/fr/produit/4935-basket,enfant
PULL,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A5355_4ae926d41a.JPG,2 Couleurs,/fr/produit/4713-pull,enfant
MOCASSIN,62.93 TND,https://images.zen.com.tn/uploads/8_U2_A4136_29b37595b9.JPG,2 Couleurs,/fr/produit/4576-mocassin,enfant
BALLERINE,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A4053_1c94edcf1c.JPG,1 Couleurs,/fr/produit/4581-ballerine,enfant
BALLERINE,41.93 TND,https://images.zen.com.tn/uploads/8_U2_A4075_32c4bd52f3.JPG,1 Couleurs,/fr/produit/4582-ballerine,enfant
BALLERINE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A3950_8954422bfd.JPG,7 Couleurs,/fr/produit/4580-ballerine,enfant
VESTE,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A8731_7a306d0cd1.jpg,2 Couleurs,/fr/produit/4775-veste,enfant
BASKETS,83.93 TND,https://images.zen.com.tn/uploads/8_U2_A1029_be2480d9d7.JPG,2 Couleurs,/fr/produit/4800-baskets,enfant
BLOUSE,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A0075_d75d8a6c63.JPG,2 Couleurs,/fr/produit/4858-blouse,enfant
VESTE,39.13 TND  55.90 TND,https://images.zen.com.tn/uploads/8_U2_A9962_7f5e06474f.JPG,1 Couleurs,/fr/produit/4864-veste,enfant
ENSEMBLE MAILLE,67.13 TND,https://images.zen.com.tn/uploads/8_U2_A2659_4753fbde10.JPG,2 Couleurs,/fr/produit/4510-ensemble-maille,enfant
JACKET,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A1574_e64f80c276.JPG,1 Couleurs,/fr/produit/4749-jacket,enfant
SWEAT SHIRT,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9901_ad9729aa20.JPG,3 Couleurs,/fr/produit/4865-sweat-shirt,enfant
T-SHIRT MANCHES LONGUES,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A0178_9e36b8d71a.JPG,2 Couleurs,/fr/produit/4836-t-shirt-manches-longues,enfant
TSHIRT MANCHES LONGUES,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A9831_a754dc4c75.JPG,1 Couleurs,/fr/produit/4698-tshirt-manches-longues,enfant
LEGGING,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A1493_7bafac2a52.JPG,3 Couleurs,/fr/produit/4657-legging,enfant
SALOPETTE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A1590_d86aedea0e.JPG,1 Couleurs,/fr/produit/4738-salopette,enfant
PANTALON  JEANS,59.90 TND,https://images.zen.com.tn/uploads/8_U2_A1546_1b8536d36f.JPG,1 Couleurs,/fr/produit/4724-pantalon--jeans,enfant
JEAN BAGGY,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A1560_2d36569dc4.JPG,2 Couleurs,/fr/produit/4641-jean-baggy,enfant
VESTE,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A9514_27e622bc0e.JPG,1 Couleurs,/fr/produit/4747-veste,enfant
T SHIRT MANCHE,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A9972_330894c8b2.JPG,3 Couleurs,/fr/produit/4447-t-shirt-manche,enfant
SAC À BANDOULIERE,55.90 TND,https://images.zen.com.tn/uploads/8_U2_A4523_3618fddeee.JPG,1 Couleurs,/fr/produit/4471-sac-a-bandouliere,enfant
